Aaron, Hank
Bojaxhi, Agnes Gonxha (Mother Teresa)
Bokini, Ratu Ovini
Bolano, Roberto
Bolívar, Simón
Bombeck, Erma
Bonaparte, Napoleon
Bonhoeffer, Dietrich
Bonner, ElenaBoone, Louis E.
Boorstin, Daniel J.
Booth, William
Boretz, Benjamin
Borges, Jorge Luis
Borlaug, Norman
Bose, Subhash Chandra
Bossidy, John Collins
Boswell, James
Botha, Pik
Boutroux, Pierre
Bowen, Elizabeth
Bowerman, Bill
Bowie, David
Bowles, Chester
Bowles, Paul
Bowles, RalstonBrBracken, Peg
Bracken, Thomas
Brackett, Joseph
Bradbury, Ray
Bradley, Omar
Braine, John
Brand, Max
Branden, Nathaniel
Brando, Marlon
Braque, Georges
Braun, Carol Moseley
Braun, Wernher von
Bräutigam, Deborah
Brautigan, Richard
Brazauskas, Algirdas
Brecht, BertoltBriggs, Joe Bob
Brilliant, Ashleigh
Brodsky, Joseph
Brontë, Emily
Brooks, Gwendolyn
Brooks, Mel
Brothers, Dr. Joyce
Broun, Heywood
Brown, Alton
Brown, Earle
Brown, Elizabeth
Brown, Julie
Brown, Sam
Browne, Harry
Browne, Sir Thomas
Browning, Elizabeth Barrett
Browning, Robert
Broyard, Anatole
Bruce, Lenny
Bruno, Giordano
Brutus, Marcus Junius
Bryan, William Jennings
Bryant, William CullenBu-ByBuber, Martin
Buchan, John
Buck, Pearl
Buckles, Frank
Buddha, Gautama
Buffett, Warren
Bujold, Lois McMaster
Bullock, Sandra
Bune, Poseci
Buñuel, Luis
Buonarroti, Michelangelo
Burke, Edmund
Burnett, Carol
Burnham, Daniel
Burnham, Frederick Russell
Burns, Edward
Burns, Robert
Burroughs, John
Burroughs, William S.
Burton, Sir Richard Francis
Buscaglia, Leo
Bush, George H. W.
Bush, George W.
Bush, John Carder
Bush, Kate
Bush, Vannevar
Butler, Amir
Butler, Samuel (1835-1902)
Butler, Samuel (1612-1680)
Butler, Smedley
Butler Sloss, Dame Elizabeth
Buzan, Tony
Byrd, Richard E.
Byrd, Robert
Byrne, David
Byrne, Robert
Byron, Lord
CCabell, James Branch
Caesar, Irving
Caesar, Julius
Cage, John
Cain, Peter
Callaghan, James
Calvin, John
Cameron, Julia
Cameron, Kirk
Campbell, Beatrice Stella; (Mrs. Patrick Campbell)
Camus, Albert
Cannon, James P.
Canseco, José
Cantona, Eric
Cao,Cao
Čapek, Karel
Capote, Truman
Capone, Al
Card, Orson Scott
Carducci, Giosue
Carey, Mariah
Carey, Sandra
Carlin, George
Carlson, Tucker
Carlyle, Thomas
Carnegie, Andrew
Carolla, Adam
Carrel, Alexis
Carrey, Jim
Carroll, Lewis
Carroll, Tom
Carson, Rachel
Carter, Elliott
Carter, Howard
Carter, Jimmy
Carville, James
Casals, Pablo
Casanova, Giacomo (Jacques Casanova de Seingal)
Cash, Johnny
Castaneda, Carlos
Castro, Fidel
Cather, WillaCatt, Michael
Catullus, Gaius Valerius
Caucau, Adi Asenaca
Cavell, Edith
Cavett, Dick
Cecil, Robert (1st Viscount Cecil of Chelwood)Ch-CiChambers, Oswald
Chandler, Raymond
Lon Chaney, Sr.
Channing, William Ellery
Chapin, Harry
Chaplin, Charlie (Sir Charles Spencer Chaplin)
Chapman, Colin
Chappelle, Dave
Charles II, King of England
Charles V, Holy Roman Emperor
Charles, Ray
Chateaubriand, François-René de
Chatwin, Bruce
Chaucer, Geoffrey
Chaudhry, Mahendra
Chavez, Cesar
Cheever, John
Cherryh, C. J.
Chesterton, Gilbert Keith
Chevalier, Maurice
Chiariglione, Leonardo
Chicago, Judy
Child, Julia
Cho, Margaret
Choate, Rufus
Christie, Agatha
Chrysostom, JohnChurchill, Sarah (Duchess of Marlborough)
Churchill, Winston
Ciccone, Madonna
CiceroCl-CuClancy, Tom
Clapton, Eric
Clark, Frank A.
Clark, Ramsey
Clark, Wesley
Clarke, Arthur C.
Clausewitz, Karl von
Clay, Andrew Dice
Clay, Henry
Clemenceau, Georges
Clinton, Bill
Clinton, Hillary
Clough, Brian
Cobain, Kurt Donald
Cochran, Johnnie
Cocteau, Jean
Codrescu, Andrei
Cohen, Catman
Cohen, Leonard
Cohen, Nick
Cohen, Richard
Cole, Nat "King"
Coleridge, Samuel Taylor
Collett, CamillaCollier, Jeremy
Collins, Tim
Collison, Chris
Colson, Charles
Colten, James
Colton, Charles Caleb
Coltrane, John
Columbus, Christopher
Commager, Henry SteeleCongreve, William
Conlon, Fred
Connolly, Cyril
Conrad, Joseph
Conway, Anne
Conway Morris, Simon
Cook, Peter
Cooley, Mason
Coolidge, Calvin
Cooper, Alice
Cooper, Diana (Lady Diana Manners)
Copeland, Stewart
Copernicus, Nicolaus
Copland, Aaron
Corea, Chick
Corea, Vernon
Corey, Peter
Corgan, BillyCortázar, Julio
Cosby, Bill
Coulter, Ann
Coupland, Douglas
Courtney, Leonard H. (Lord Courtney)
Courtney, Margaret
Covington, Stephen
Coward, Noel
Cowley, Abraham
Cowper, William
Crace, Jim
Craik, Dinah
Crane, Dr. Frank
Crane, Stephen
Cray, Seymour
Crick, Francis
Crimmins, Barry
Cringely, Robert X.
Crisp, Quentin
Crockett, Davy
Cromwell, Oliver
Cross, DavidCrowley, Aleister
Crumb, Robert
Cummings, E. E.
Cunningham, Allan
Cunningham, Ward
Curie, MarieDaley, Richard J.
Dali, Salvador
Daly, Carson
Daly, Daniel
Damon, Johnny
Dangerfield, Rodney
Daniel, Samuel
Daniels, Anthony
Darrow, Clarence
Darwin, Charles
Dauten, Dale
Davis, Bette
Davis, Miles
Davisson, Richard
Dawkins, Richard
Day, Carl
Dayan, Moshe
Dean, Howard
Dean, James
Dean, John
de Bono, Edward
Debs, Eugene V.
Dee, Jack
Degas, Edgar
DeGeneres, Ellen
Delacroix, Eugène
de la Rocha, Zack
Delay, Tom
Delson, Brad
de Mello, Anthony
de Molay, Jacques
Denham, John
Depew, Chauncey
de Raadt, Theo
Derrida, Jacques
Descartes, René
DeShannon, Jackie
Desmond, Paul
Deutsch, David
Devine, Carl
Devo, musical group
DeWolfe, Ron (born L. Ron Hubbard, Jr.)Di-DuDiana, Princess of Wales
DiCaprio, Leonardo
Dick, Philip Kindred - a.k.a. PKD
Dickens, Charles
Dickinson, Emily
Dickson, Leonard Eugene
Diderot, Denis
Didion, Joan
Dillard, Annie
Dirac, Paul
Dirksen, Everett
Disney, Roy O.
Disney, Walt
Disraeli, Benjamin
Dijkstra, Edsger
Djilas, Milovan
Dobson, James
Dogg, Snoop
Doherty, Peter
Dolphy, Eric
Domeyko, Ignacy
Dominus, Mark-Jason
Donaldson, Stephen R.
Donne, John
Dornfest, Rael
Dostoevsky, Fyodor
Douglas, Donald
Douglas, Kirk
Douglas, Tommy
Douglass, David
Douglass, Frederick
Doyle, Arthur Conan
Drake, Nick
Dreiser, Theodore
Drucker, Peter F.
Duff, Hilary
Dumas, Alexandre
Dunst, Kirsten
Durante, Jimmy
Durbin, Richard
Durrell, GeraldDyDyer, Wayne
Dyke, Henry van
Dylan, Bob
Dyson, FreemanEarly, Jubal Anderson
Eastwood, Clint
Ebadi, Shirin
Eban, Abba
Ebert, Roger
Ecclestone, Bernie
Echols, Damien
Eckhart, Meister
Eddington, Arthur Stanley
Edison, Thomas Alva
Edward VII, King of England
Edwards, Edwin W.
Edwards, John
Eggers, Dave
Ehrlich, Paul R.
Einstein, Albert
Eisenhower, Dwight D.
Eisenstein, Ferdinand
ElBaradei, Mohamed
Eldredge, Niles
Eliot, George
Eliot, Thomas Stearns
Elizabeth, the Queen Mother
Ellington, Duke
Elliot, Cass
Elliot, Jim
Ellison, Harlan
Eluard, Paul
Emerson, Ralph WaldoEngelke, AnkeErdös, Paul
Erikson, Steven
Escher, M. C.
Esposito, Phil
Estefan, Gloria
Everett, Carl
Ezrin, BobFakes, Dennis
Farage, Nigel
Farjeon, Eleanor
Farmer, Frances
Noli, Fan
Fatiaki, Daniel
Faulkner, William
Favre, Brett
Fawkes, Guy
Federer, Roger
Feibig, Jim
Feingold, Russ
Feldman, Morton
Fellini, Federico
Ferguson, Adam
Ferguson, Miriam
Fermi, Enrico
Ferrell, Will
Ferron, Marcelle
Fétis, Joseph
Fey, Tina
Feynman, Richard
Fielding, Henry
Fields, W. C.
Finney, Albert
Firestone, Shulamith
Fischer, Bobby
Fischer, Joschka
Fish, Michael
Fishback, Margaret
Fisher, Carrie
Fiske, Irving
Fiszer, Franciszek
Fitzgerald, F. Scott
Fitzgerald, Patrick
Flaubert, Gustave
Flynt, Larry
Foch, Ferdinand
Foley, Mick
Fonteyn, Margot
Forbes, Malcolm
Ford, Gerald
Ford, Harrison
Ford, Henry
Forster, E. M.
Forsyth, Bruce
Fort, Charles
Fosdick, Harry Emerson
Foster, Sir Robert Sidney
Fowler, Gene
Fox, George
Fox, Virgil
Foxworthy, Jeff
France, AnatoleFrancona, Terry
Franck, Richard
Frank, Anne
Franklin, Benjamin
Franks, Tommy
Franti, Michael
Franzen, JonathanFreud, Sigmund
Freund, Peter
Friedman, Kinky
Friedman, Milton
Friedman, Nat
Friel, Todd
Frist, Bill
Fromm, Erich
Frost, Robert
Frostrup, Mariella
Fulbright, J. William
Fulghum, Robert
Fuller, Buckminster
Fuller, Margaret
GGabor, Zsa Zsa
Gabriel, Peter
Gagarin, Yuri
Gaiman, Neil
Galbraith, John Kenneth
Galilei, GalileoGallagher, Fred
Gallo, Vincent Actor
Galloway, George
Gallup, George
Galtieri, Leopoldo
Gandhi, Indira
Gandhi, Mahatma
Gangchuan, Cao
Ganilau, Adi Ateca
Ganilau, Ratu Epeli
Ganilau, Ratu Sir Penaia
Gardel, Carlos
Garfield, James A.
Garland, Judy
Garner, Helen
Garrison, William Lloyd
Gary, Romain
Gassée, Jean-Louis
Gates, Bill
Gaudi, Antonio
Gauguin, Paul
Gaulle, Charles de
Gaultier, Jules de
Gauss, Carl Friedrich
Gay, John
Gaye, Marvin
Geagea, Samir
Gemayel, Solange
Genet, Jean
George III, King of England
George V, King of England
Gephardt, Dick
Gerety, Frances
Gergen, DavidGiacometti, Alberto
Gibbon, Edward
Gibran, Khalil
Gibson, William Ford
Gide, André
Gilbert, W. S.
Gilder, George
Gill, Eric
Gilmore, John
Ginott, Haim
Giraudoux, Jean
Giuliani, RudyGoGodard, Jean-Luc
Godwin, Earl of Wessex
Godwin, Mike
Goering, Hermann
Goethe, Johann Wolfgang von
Gogh, Vincent Willem Van
Gogol, Nikolai Vasilievich
Goldberg, Jonah
Golding, William
Goldman, Emma
Goldsmith, Oliver
Goldsworthy, Andy
Goldwater, Barry
Goldwyn, Samuel
Goodman, Ellen
Gorky, Maxim
Göring, Hermann
Gothard, Bill
Gould, Stephen JayGr-GyGracián, Baltasar
Graham, Lindsey
Graham, Paul
Gramsci, Antonio
Grant, Ulysses S.
Grass, Günter
Gray, Thomas
Greeley, Horace
Green, Matthew
Greene, Graham
Greer, Germaine
Grellet, Stephen
Grey, Zane
Griswold, Alfred Whitney
Griswold, Erwin
Groban, Josh
Groening, Matt
Grove, Andy
Grudin, Robert
Guber, Peter
Guderian, Heinz
Guevara, Ernesto Che
Guitry, Sacha
Gundmundsdottir, Bjork
Gurdjieff, G. I.Gygax, Gary
Gyllenhaal, Jake
HHába, Alois
Hague, Frank
Haig, Alexander
Hain, Peter
Halas, George
Haldeman, Joe
Haley, Alex
Hall, Evelyn Beatrice (also known by pseudonym "Stephen G. Tallentyre")
Halliburton, Richard
Halme, Tony
Halsey, William "Bull"
Hamilton, Alexander
Hamilton, Gail
Hamilton, Laurell K.
Hammarskjöld, DagHandy, Charles
Handy, W. C.
Hannity, Sean
Harold II Godwinson, King of England
Harper, Stephen
Harris, Sam
Harris, William Torrey
Harrison, George
Hart, Lorenz
Hart, Owen
Harvey, Paul
Hašek, Jaroslav
Hathaway, Anne
Hathaway, SybilHattersley, Roy
Havel, Václav
Havok, Davey
Hawking, Stephen
Hawthorne, Nathaniel
Hayden, Teresa Nielson
Hayek, Friedrich
Hayes, HelenHe-HiHedberg, Mitch
Hedges, Chris
Hegel, Georg Friedrich Wilhelm
Heifetz, Jascha
Heilbrun, Carolyn
Hein, Piet
Heindel, Max
Heinlein, Robert A.
Heine, Heinrich
Heisenberg, Werner
Held, John
Heller, Joseph
Hellman, Lillian
Hemingway, Ernest
Henderson, Rickey
Hendrie, Phil
Hendrix, Jimi
Hennessey, AmmonHenry, Matthew
Henry, O.
Henry, Patrick
Hepburn, Audrey
Hepburn, KatherineHerbert, George
Herbert, Zbigniew
Hernández, JuliánHerschel, John
Herzler, Roger D
Herzog, Werner
Heschel, Abraham JoshuaHess, Karl
Hesse, Hermann
Hewitt, Hugh
Heywood, John
Hibiki, Dan
Hickenbottom, Michael
Hicks, Bill
Hicks, Dan
Hightower, Jim
Hikmet, Nazim
Hill, Joe
Hill, Napoleon
Hillary, EdmundHirsch, Mary
Hitchens, Christopher
Hitchcock, AlfredHo-HyHobbes, Thomas
Hoff, Benjamin
Hoffer, Eric
Hoffman, Abbie
Hoffman, Jessica
Hofstadter, Douglas
Hofstadter, Richard
Holderlin, Friedrich
Holmes, Oliver Wendell, Jr.
Holmes, Oliver Wendell, Sr.
Holt, Anatol
Holt, JohnHonda, Soichiro
Hoover, Herbert
Hope, Bob
Hopkins, Gerard Manley
Hopper, Edward
Hopper, GraceHorning, Jim
Houdini, Harry
House, Jinnah
Housman, A. E.
Howe, Julia Ward
Howell, James
Hoyle, Fred
Hubbard, Elbert
Hubbard, Kin (Frank McKinney Hubbard)
Hubbard, L. Ron
Huckabee, Mike
Huelskamp, Tim
Huffington, Arianna
Hughes, Charles Evans
Hugo, Victor
Hull, Bobby
Hull, Cordell
Humboldt, Alexander von
Humboldt, Wilhelm von
Hume, David
Hundertwasser, Friedensreich
Hung, William
Hunt, J. McV.
Hurston, Zora Neale
Hussein, Saddam
Hutcheson, Francis
Hutchinson, Thomas
Hutton, James
Huxley, Aldous
Huxley, Julian
Huxley, Thomas Henry
Huygens, Christian
Hyles, Jack
Hyson, MattIacocca, Lee
Ibsen, Henrik
Icke, David
Idle, Eric
Iloilo, Ratu Josefa
Inge, William Ralph
Ingelow, Jean
Ingersoll, Robert G.
Ionesco, Eugene
Ip, Regina
Irvine, Eddie
Ishihara, Shintaro
Itoi, Shigesato
Izzard, Eddie
JJäätteenmäki, Anneli
Jackson, Andrew
Jackson, Janet
Jackson, Jesse
Jackson, Michael
Jackson, Robert H.
Jaffe, BobJames, Alice
James, C. L. R.
James, Donald
James, Henry
James, Kevin
James, William
Janáček, Leoš
Jarrell, Randall
Jarrett, Jeff
Jay, Glenn, Miner
Jarry, Alfred
Jeffers, Robinson
Jefferson, Thomas
Jelinek, Fred
Jenner, Henry
Jennings, Peter
Jensen, Derrick
Jensen, Hayley
Jeter, Derek
Jillette, PennJobs, Steve
Johns, Michael
Johnson, Boris
Johnson, Lyndon
Johnson, Philip
Johnson, Samuel
Johnson, Susan (Australian)
Johnson, Zach
Jolie, Angelina
Jones, John Paul
Jones, Norah
Jones, Orlando
Jong, Erica
Jonson, Ben
Joplin, Janis
Jordan, Sandra
Joseph, Chief
Joshi, Kedar
Joubert, JosephJuJuárez, Benito
Judd, Ashley
Jueneman, Frederic
Jung, Carl
Junge, TraudlJuyi, BaiKaczynski, Lech
Kael, Pauline
Kafka, Franz
Kahlo, Frida
Kak, Subhash
Kalam, APJ AbdulKant, Immanuel
Kapell, William
Kapuściński, Ryszard
Karenga, Ron
Karzai, Hamid
Kasparov, Garry
Katz, Jonathan
Kawabata, Yasunari
Kawohl, Kurt
Kay, Alan
Kay, Ken
Kazantzakis, Nikos
Keats, John
Keating, Paul
Keaton, Buster
Keel, John
Keeping, Charles
Keillor, Garrison
Keller, Helen
Kellner, Friedrich
Kelly, Walt
Kempton, Murray
Kelvin, Lord
Kendrick, Alex
Kennan, George F.
Kennedy, Anthony
Kennedy, Edward
Kennedy, John F.Kennedy, Robert
Kennedy, Robert F.
Kennedy, Robert Francis Jr.
Kepa, Ro Teimumu
Kerouac, Jack
Kerry, John
Kerry, Teresa Heinz
Kesey, Ken
Keyes, Alan
Keynes, John Maynard
Khan, Hafiz
Khan, Nusrat Fateh Ali
Khan, Shahrukh
Khan,Genghis
Khayyam, Omar
Khomeini, Ruhollah
Khrushchev, Nikita
Kierkegaard, Søren Aabye
Kilmer, Joyce
Kilmister, Lemmy
Kilroy-Silk, Robert
King, Carole
King, Coretta Scott
King, Martin Luther
King, Stephen
King, William
Kingsley, Charles
Kingsolver, Barbara
Kinsey, Alfred
Kinski, Klaus
Kipling, Rudyard
Kissinger, HenryKl-KuKline, Kevin
Klopstock, Friedrich Gottlieb
Knapman, Roger
Knebel, Fletcher
Knightley, Keira
Knuth, Donald
Koestler, Arthur
Koons, Jeff
Koontz, Dean R.
Koop, C. Everett
Kornheiser, Tony
Kotok, Alan
Kovacs, Ernie
Koya, Sidiq
Kraus, Karl
Krieger, Lou
Krieger, Robbie
Kripke, Saul
Krishnamurti, Jiddu
Krishnamurthy, Kalki (R. Krishnamurthy)
Kronrod, Alexander
Kruk, John
Kruger, Barbara
Kruth, Ernst
Kübler-Ross, Elisabeth
Kudlow, Lawrence
Kundera, Milan
Kulongoski, Ted
Kuriyama, Chiaki
Kurosawa, Akira
Kurti, Nicholas
Kurtz, Katherine
Kurtz, Scott R.
Kusturica, Emir
LLa Bruyère, Jean de
LaHaye, Tim
Laitman, Michael
Lalabalavu, Ratu Naiqama
Lamb, Charles
Landers, Ann
Landor, Walter Savage
Lane, Nathan
Lang, Will Jr.
Lanne, Jack LaLaplace, Pierre-Simon
Lardner, Ring
La Rochefoucauld, François de
Lasorda, Tommy
Lastman, Mel
Lau, Charley
Laurel, Stan
Laurer, Joanie
Laurinkus, Mečys
Lavigne, Avril
Lawler, JerryLe-LiLeacock, Stephen
Lear, Edward
Leary, Timothy
LeBlanc, Romeo
Lebowitz, Fran
Lec, Stanislaw JerzyLee, Ang
Lee, Bruce
Lee, Stan
Lehman, John
Leiber, Fritz
Lem, Stanislaw
LeMay, Curtis
Lenin, Vladimir
Lennon, John
Leno, JayLeonard, Elmore
Lernoux, Penny
Lessig, Lawrence
Lessing, Doris
Letterman, David
Leung, Graeme
Levertov, Denise
Leverson, Ada
Lévi-Strauss, Claude
Lewis, C. S.
Lewis, Jenny
Lewis, SinclairLichtenberg, Georg Christoph
Liddy, G. Gordon
Liebling, A. J.
Limbaugh, Rush
Lincoln, AbrahamLl-LyLloyd, Seth
Locke, John
Lohan, Lindsay
London, Jack
Long, Earl
Long, Huey P.
Longfellow, Henry Wadsworth
Loo, Tristan J.
Looney, General William
Lott, Trent
Louis VII, King of France
Louis, Joe
Love, Courtney
Lovecraft, H. P.
Lovelace, Richard
Lovins, Amory
Lowell, Christopher
Lubbock, John
Lucas, George
Ludwig, Arnold M.
Luther, Martin
Luxemburg, RosaLynch, Peter
Lyons, Steve
MMaathai, Wangari
MacArthur, Douglas
Macaulay, Thomas Babington
Macdonald, George
MacGregor, Robert Roy
Machado, Antonio
Machiavelli, Niccolo
Madonna see Ciccone, Madonna
Madraiwiwi, Ratu Joni
Magee, Bryan
Maher, BillMalda, Rob "CmdrTaco"
Mallet, David (or David Malloch)
Malley, Matt
Malory, Thomas
Malraux, André
Malthus, Thomas
Manchester, William
Mandela, Nelson
Mann, Horace
Mann, Thomas
Mannheim, Karl
Mansfield, Katherine
Manson, Charles
Manson, MarilynMara, Ratu Sir Kamisese
Marconi, Guglielmo
Marcos, Ferdinand EdralinMargera, Brandon "Bam"Marley, Bob
Marlowe, Christopher
Maroulis, Constantine
Marquis, Don
Marshall, George
Marshall, Joshua Micah
Marshall, Thomas R.
Martell, Yann
Martí, JoséMartin, Demetri
Martin, John
Martin, Judith "Miss Manners"
Martin, Paul
Martin, Steve
Marvell, Andrew
Marx, Groucho
Marx, Karl
Mary I of EnglandMas-MayMaslow, Abraham
Mataca, Petero
Matarazzo, Francesco
Matisse, Henri
Matthews, Dave
Maugham, William Somerset
Maupassant, Guy de
May, Rollo
Mayfield, CurtisMc-MiMcAuliffe, Anthony
McCain, John
McCarthy, Eugene
McCarthy, Joseph
McCarthy, Mary
McCartney, Paul
McClary, Susan
McClung, Nellie
McFee, William
McGill, Bryant
McGoohan, Patrick
McGuire, Al
McKay, Charles
McKennitt, Loreena
McLuhan, Marshall
McMahon, Vince
McNair, Steve
McNamara, Robert
McQuaig, Linda
Mead, Margaret
Mecham, Evan
Medved, Michael
Meir, Golda
Melua, Katie
Melville, Herman
Men, Alexander
Mencken, H. L.
Merchant, Natalie
Mercury, Freddie
Mero, Rena
Merrick, JosephMichener, James
Midler, Bette
Mies van der Rohe, Ludwig
Milano, Alyssa
Mill, John Stuart
Miller, Alex
Miller, Arthur
Miller, Bode
Miller, Henry
Miller, Ron
Miller, Walter M. (Jr.)
Milligan, Spike
Mills, C. Wright
Milne, A.A.
Milosz, Ceslaw
Milton, John
Minow, Newton N.
Mises, Ludwig von
Mitchell, John
Mitchell, JoniMo-MuMoawad, Nayla
Moawad, RenéMomoedonu, Tevita
Monheit, Jane
Monroe, Marilyn
Montaigne, Michel de
Montesquieu, Charles de
Moore, Alan
Moore, Dudley
Moore, Michael
Moore, Tim
Morales, Evo
Moran, Dylan
More, Hannah
More, St. Thomas
Morgenstern, Christian
Morley, Christopher
Morris, Errol
Morris, Mixmaster
Morrison, Jim
Morrison, RobertMortimer, JohnMountbatten, Louis
Mozart, Wolfgang Amadeus
Mugabe, Robert
Muhammad, Holy Prophet
Muir, John
Mullally, Megan
Mulock, Dinah Maria; also Dinah Maria Craik
Mumford, Lewis
Mumpfield, Susie
Munch, Edvard
Munro, AliceMurrow, Edward R.Mussolini, Benito
Mustaine, Dave
Myatt, DavidNabokov, Vladimir
Nachman, Rabbi, of Bratzlav
Nader, Ralph
Nagel, Thomas
Naidu, Richard
Nailatikau, Adi Koila
Nailatikau, Ratu Epeli Qaraninamu
Najimy, Kathy
Nash, John Forbes
Nash, Thomas
Navakasuasua, Maciu
Negroponte, Nicholas
Nelson, Hailey Anne
Nelson, HoratioNeruda, Pablo
Newhart, Bob
Newton, Isaac
Newton, John
Nicks, StevieNicoll, James
Niebuhr, Reinhold
Niemöller, Martin
Nietzsche, Friedrich
Nightingale, Florence
Nijinsky, Vaslav
Nin, Anaïs Nin
Ninio, Jacques
Niranjan, Sangeeta
Niven, Larry
Nixon, Richard
Noam, Eli
Norton, Joshua Abraham
Nostradamus (Michel de Notredame, or Michel de Nostredame)Nugent, Ted
Nukem, Duke
Null, GaryNuwas, AbuObama, Barack
Oberst, Conor
OBrien, Conan
Ochs, Phil
ODonnell, Rosie
Ogi, Adolf
Ogilvy, David
OKeeffe, Georgia
Oliver, Jamie
Oliver, Robert T.
Olson, Ken
Olsen, Mary-Kate and Ashley
Onassis, Jacqueline Kennedy
Ondrick, William F.
Oppenheimer, J. Robert
OReilly, Bill
ORourke, P. J.
Ortiz, David
Orwell, GeorgeOsbourne, Ozzy
O’Shaughnessy, ArthurOuspensky, P. D.
Overbury, ThomasOwens, Jesse
Owsen, Dan
PPage, Larry
Paige, Satchel
Paine, Thomas
Palahniuk, Chuck
Palgrave, Francis Turner
Palin, Michael
Palme, Olof
Parker, Dorothy
Parton, Dolly
Pascal, Blaise
Pasteur, LouisPater, Walter
Paterson, Isabel
Patrick, Saint
Patton, George S.Paul, Ron
Pauli, Wolfgang
Pauling, Linus
Payack, Paul JJ
Payne, Max
Peel, John
Peguy, Charles
Peirce, Charles Sanders
Penn, William
Percy, Walker
Peres, Shimon
Perger, Andreas PaoloPerle, Richard
Perlis, Alan
Perry, Michael D.
Perry, Oliver Hazard
Pessoa, Fernando
Peter, Dr. Laurence J.
Petronius, GaiusPh-PzPhelps, Michael
Philip, Duke of Edinburgh
Philips, Emo
Piaget, Jean
Picasso, Pablo
Pieper, Josef
Pinker, Steven
Piper, Roddy
